Module	Section	Sample Name	Source
FastQC	all_sections	SRR25712881_2	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712881_2_fastqc.zip
FastQC	all_sections	SRR25712877_1	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712877_1_fastqc.zip
FastQC	all_sections	SRR25712876_2	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712876_2_fastqc.zip
FastQC	all_sections	SRR25712877_2	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712877_2_fastqc.zip
FastQC	all_sections	SRR25712879_2	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712879_2_fastqc.zip
FastQC	all_sections	SRR25712881_1	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712881_1_fastqc.zip
FastQC	all_sections	SRR25712878_2	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712878_2_fastqc.zip
FastQC	all_sections	SRR25712878_1	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712878_1_fastqc.zip
FastQC	all_sections	SRR25712880_2	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712880_2_fastqc.zip
FastQC	all_sections	SRR25712876_1	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712876_1_fastqc.zip
FastQC	all_sections	SRR25712879_1	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712879_1_fastqc.zip
FastQC	all_sections	SRR25712880_1	/home/focyte/rnaseq-pipeline/01_fastqc_pretrim/SRR25712880_1_fastqc.zip
