Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25712876_1_val_1	66.79413291846754	48.0	146.67182836384768	147	18.181818181818183	18859430.0
SRR25712876_1_val_2	66.79413291846754	48.0	146.67182836384768	147	18.181818181818183	18859430.0
SRR25712877_1_val_1	66.91763539579054	48.0	146.6576203202492	147	18.181818181818183	19400392.0
SRR25712877_1_val_2	66.91763539579054	48.0	146.6576203202492	147	18.181818181818183	19400392.0
SRR25712878_1_val_1	69.49845802617924	49.0	146.36284917958434	147	18.181818181818183	17087375.0
SRR25712878_1_val_2	69.49845802617924	49.0	146.36284917958434	147	18.181818181818183	17087375.0
SRR25712879_1_val_1	68.18860500463973	48.0	146.6863037651885	147	18.181818181818183	22933938.0
SRR25712879_1_val_2	68.18860500463973	48.0	146.6863037651885	147	18.181818181818183	22933938.0
SRR25712880_1_val_1	63.43554989263263	49.0	146.71376606078576	147	18.181818181818183	22105939.0
SRR25712880_1_val_2	63.43554989263263	49.0	146.71376606078576	147	18.181818181818183	22105939.0
SRR25712881_1_val_1	62.81612055357243	49.0	146.67435149739907	147	18.181818181818183	21314024.0
SRR25712881_1_val_2	62.81612055357243	49.0	146.67435149739907	147	18.181818181818183	21314024.0
