Module	Section	Sample Name	Source
FastQC	all_sections	SRR25712879_1_val_2	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712879_1_val_2_fastqc.zip
FastQC	all_sections	SRR25712877_1_val_2	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712877_1_val_2_fastqc.zip
FastQC	all_sections	SRR25712881_1_val_2	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712881_1_val_2_fastqc.zip
FastQC	all_sections	SRR25712880_1_val_2	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712880_1_val_2_fastqc.zip
FastQC	all_sections	SRR25712876_1_val_1	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712876_1_val_1_fastqc.zip
FastQC	all_sections	SRR25712881_1_val_1	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712881_1_val_1_fastqc.zip
FastQC	all_sections	SRR25712878_1_val_1	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712878_1_val_1_fastqc.zip
FastQC	all_sections	SRR25712876_1_val_2	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712876_1_val_2_fastqc.zip
FastQC	all_sections	SRR25712877_1_val_1	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712877_1_val_1_fastqc.zip
FastQC	all_sections	SRR25712878_1_val_2	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712878_1_val_2_fastqc.zip
FastQC	all_sections	SRR25712879_1_val_1	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712879_1_val_1_fastqc.zip
FastQC	all_sections	SRR25712880_1_val_1	/home/focyte/rnaseq-pipeline/03_fastqc_posttrim/SRR25712880_1_val_1_fastqc.zip
